,Latitude,Longitude,Altitude (m)
0,41.95469,-87.800991,194.1
1,41.994991,-87.769279,189.1
2,41.974089,-87.824812,198.2
3,41.9216,-87.666455,179.6
4,41.891118,-87.65449100000001,181.8
5,41.867108,-87.654224,180.6
6,41.896282,-87.655232,180.7
7,41.919343,-87.694259,182.0
8,41.921965,-87.632085,178.7
9,41.688324,-87.676709,199.4
10,41.862292,-87.64886,180.6
11,41.720848,-87.666014,193.5
12,41.731922,-87.677512,200.8
13,41.891126,-87.61156,179.9
14,41.999128999999996,-87.795585,190.0
15,42.01743,-87.68776899999999,186.8
16,41.907645,-87.760886,187.5
17,41.732984,-87.649642,184.2
18,41.981964000000005,-87.812827,197.9
19,41.944869,-87.832763,191.9
20,42.011601,-87.81150600000001,197.0
21,41.94983,-87.69845699999999,178.6
22,41.979243,-87.750938,186.5
23,41.986921,-87.689778,182.6
24,41.801497999999995,-87.763416,181.3
25,41.906638,-87.701431,182.7
26,41.723195000000004,-87.64997,184.7
27,41.868077,-87.666901,180.6
28,41.869215999999994,-87.627561,179.7
29,41.662014,-87.72460799999999,187.3
30,41.961743,-87.76007,187.6
31,41.953067,-87.776792,189.0
32,41.878114000000004,-87.629798,181.4
33,41.958271,-87.702575,179.7
34,41.932094,-87.700117,181.3
35,41.994469,-87.667736,180.3
36,42.006858,-87.675919,186.2
37,41.916265,-87.800515,194.4
38,41.846075,-87.716277,181.9
39,41.918704999999996,-87.752329,188.7
40,41.682587,-87.707973,187.6
41,41.725516999999996,-87.61425799999999,181.0
42,41.948167,-87.730698,183.2
43,41.963976,-87.69181,180.1
44,41.953705,-87.733974,183.9
45,41.964242,-87.757639,187.4
46,41.990284,-87.797127,193.0
47,42.008314,-87.77792099999999,189.4
48,41.991429,-87.747113,185.7
49,41.843810999999995,-87.686763,182.4
50,41.921177,-87.79518,198.0
51,41.852652,-87.719887,181.4
52,41.857402,-87.694991,182.1
53,41.868142,-87.696269,182.5
54,41.846283,-87.656913,179.9
55,41.721474,-87.648064,184.7
56,41.869107,-87.69629300000001,182.5
57,41.719059,-87.675088,201.6
58,41.966986999999996,-87.674677,182.8
59,41.923738,-87.785288,197.5
60,41.970248,-87.787992,190.1
61,42.010412,-87.66214000000001,179.8
62,41.899229999999996,-87.716788,184.2
63,41.692555,-87.598865,184.2
64,41.94016,-87.794896,196.1
65,41.903002,-87.68826700000001,182.1
66,41.942114000000004,-87.776385,189.5
67,41.960615999999995,-87.777189,188.9
68,41.883284,-87.705085,182.8
69,41.704336,-87.70373599999999,189.9
70,41.962728000000006,-87.748367,184.1
71,41.836644,-87.677737,182.3
72,41.837084999999995,-87.729384,181.3
73,41.911823999999996,-87.726737,184.3
74,41.823065,-87.67837800000001,181.3
75,41.801179,-87.679447,182.8
76,41.800737,-87.71188000000001,182.9
77,41.778296999999995,-87.752411,189.0
78,41.77166,-87.703047,185.5
79,41.759346,-87.745602,188.9
80,41.768388,-87.678649,186.4
81,41.797616,-87.797894,181.4
82,41.781416,-87.77653199999999,187.4
83,41.773215,-87.60088,179.4
84,41.822536,-87.66634300000001,181.3
85,41.799282,-87.585487,180.1
86,41.794781,-87.615989,183.0
87,41.778748,-87.586427,179.9
88,41.766202,-87.562889,178.7
89,41.754676,-87.612922,178.8
90,41.821582,-87.62779599999999,182.8
91,41.803422999999995,-87.642984,182.0
92,41.754292,-87.590773,185.4
93,41.798697,-87.736812,183.1
94,41.776156,-87.778927,187.4
95,41.82561,-87.726549,178.8
96,41.673408,-87.599862,179.0
97,41.726465000000005,-87.585413,179.9
98,41.678618,-87.559308,178.3
99,41.737052,-87.54306700000001,179.5
100,41.740641,-87.546587,179.3
101,41.680946,-87.535198,178.2
102,41.686398,-87.531635,178.2
103,41.729669,-87.582699,178.0
104,41.704572,-87.56566600000001,179.0
105,41.74785,-87.70271600000001,188.8
106,41.775051,-87.65535600000001,182.9
107,41.644612,-87.60449799999999,179.7
108,41.733643,-87.55551,179.2
109,41.717753,-87.531657,180.0
110,41.750498,-87.605294,180.3
111,41.702723999999996,-87.536497,178.7
112,41.984809000000006,-87.728492,184.4
113,41.772846,-87.740029,189.0
114,41.825902,-87.667827,180.8
