latitude,longitude,altitude (m)
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.99499,-87.769279,189.1
41.97408,-87.824812,198.2
41.97408,-87.824812,198.2
41.9216,-87.666455,179.6
41.89111,-87.654491,181.8
41.8671,-87.654224,180.6
41.8671,-87.654224,180.6
41.89628,-87.655232,180.7
41.91934,-87.694259,182
41.92196,-87.632085,178.7
41.92196,-87.632085,178.7
41.68832,-87.676709,199.4
41.68832,-87.676709,199.4
41.862292,-87.64886,180.6
41.72084,-87.666014,193.5
41.73192,-87.677512,200.8
41.73192,-87.677512,200.8
41.891126,-87.61156,179.9
41.891126,-87.61156,179.9
41.99912,-87.795585,190
42.01743,-87.687769,186.8
41.90764,-87.760886,187.5
41.73298,-87.649642,184.2
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.97408,-87.824812,198.2
41.97408,-87.824812,198.2
41.9216,-87.666455,179.6
41.9216,-87.666455,179.6
41.9216,-87.666455,179.6
41.89111,-87.654491,181.8
41.8671,-87.654224,180.6
41.8671,-87.654224,180.6
41.8671,-87.654224,180.6
41.89628,-87.655232,180.7
41.91934,-87.694259,182
41.91934,-87.694259,182
41.92196,-87.632085,178.7
41.68832,-87.676709,199.4
41.72084,-87.666014,193.5
41.73192,-87.677512,200.8
41.73192,-87.677512,200.8
41.73192,-87.677512,200.8
41.99912,-87.795585,190
41.99912,-87.795585,190
41.90764,-87.760886,187.5
41.73298,-87.649642,184.2
41.98196,-87.812827,197.9
41.94486,-87.832763,191.9
42.0116,-87.811506,197
41.94983,-87.698457,178.6
41.97924,-87.750938,186.5
41.98692,-87.689778,182.6
41.80149,-87.763416,181.3
41.90663,-87.701431,182.7
41.723195,-87.64997,184.7
41.86807,-87.666901,180.6
41.86807,-87.666901,180.6
41.86921,-87.627561,179.7
41.66201,-87.724608,187.3
41.66201,-87.724608,187.3
41.66201,-87.724608,187.3
41.961743,-87.76007,187.6
41.961743,-87.76007,187.6
41.95306,-87.776792,189
41.95306,-87.776792,189
41.87811,-87.629798,181.4
41.95827,-87.702575,179.7
41.95827,-87.702575,179.7
41.93209,-87.700117,181.3
41.99446,-87.667736,180.3
42.00685,-87.675919,186.2
41.91626,-87.800515,194.4
41.91626,-87.800515,194.4
41.84607,-87.716277,181.9
41.9187,-87.752329,188.7
41.68258,-87.707973,187.6
41.68258,-87.707973,187.6
41.72551,-87.614258,181
41.94816,-87.730698,183.2
41.94816,-87.730698,183.2
41.963976,-87.69181,180.1
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.99499,-87.769279,189.1
41.99499,-87.769279,189.1
41.97408,-87.824812,198.2
41.9216,-87.666455,179.6
41.9216,-87.666455,179.6
41.89111,-87.654491,181.8
41.89111,-87.654491,181.8
41.8671,-87.654224,180.6
41.89628,-87.655232,180.7
41.91934,-87.694259,182
41.68832,-87.676709,199.4
41.68832,-87.676709,199.4
41.68832,-87.676709,199.4
41.73192,-87.677512,200.8
41.891126,-87.61156,179.9
41.891126,-87.61156,179.9
41.99912,-87.795585,190
41.99912,-87.795585,190
42.01743,-87.687769,186.8
42.01743,-87.687769,186.8
41.94486,-87.832763,191.9
41.94486,-87.832763,191.9
42.0116,-87.811506,197
42.0116,-87.811506,197
41.94983,-87.698457,178.6
41.97924,-87.750938,186.5
41.98692,-87.689778,182.6
41.98692,-87.689778,182.6
41.90663,-87.701431,182.7
41.90663,-87.701431,182.7
41.86807,-87.666901,180.6
41.86807,-87.666901,180.6
