Latitude,Longitude,Altitude (m)
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.994991,-87.769279,189.1
41.974089,-87.824812,198.2
41.974089,-87.824812,198.2
41.9216,-87.666455,179.6
41.891118,-87.654491,181.8
41.867108,-87.654224,180.6
41.867108,-87.654224,180.6
41.896282,-87.655232,180.7
41.919343,-87.694259,182
41.921965,-87.632085,178.7
41.921965,-87.632085,178.7
41.688324,-87.676709,199.4
41.688324,-87.676709,199.4
41.862292,-87.64886,180.6
41.720848,-87.666014,193.5
41.731922,-87.677512,200.8
41.731922,-87.677512,200.8
41.891126,-87.61156,179.9
41.891126,-87.61156,179.9
41.999129,-87.795585,190
42.01743,-87.687769,186.8
41.907645,-87.760886,187.5
41.732984,-87.649642,184.2
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.974089,-87.824812,198.2
41.974089,-87.824812,198.2
41.9216,-87.666455,179.6
41.9216,-87.666455,179.6
41.9216,-87.666455,179.6
41.891118,-87.654491,181.8
41.867108,-87.654224,180.6
41.867108,-87.654224,180.6
41.867108,-87.654224,180.6
41.896282,-87.655232,180.7
41.919343,-87.694259,182
41.919343,-87.694259,182
41.921965,-87.632085,178.7
41.688324,-87.676709,199.4
41.720848,-87.666014,193.5
41.731922,-87.677512,200.8
41.731922,-87.677512,200.8
41.731922,-87.677512,200.8
41.999129,-87.795585,190
41.999129,-87.795585,190
41.907645,-87.760886,187.5
41.732984,-87.649642,184.2
41.981964,-87.812827,197.9
41.944869,-87.832763,191.9
42.011601,-87.811506,197
41.94983,-87.698457,178.6
41.979243,-87.750938,186.5
41.986921,-87.689778,182.6
41.801498,-87.763416,181.3
41.906638,-87.701431,182.7
41.723195,-87.64997,184.7
41.868077,-87.666901,180.6
41.868077,-87.666901,180.6
41.869216,-87.627561,179.7
41.662014,-87.724608,187.3
41.662014,-87.724608,187.3
41.662014,-87.724608,187.3
41.961743,-87.76007,187.6
41.961743,-87.76007,187.6
41.953067,-87.776792,189
41.953067,-87.776792,189
41.878114,-87.629798,181.4
41.958271,-87.702575,179.7
41.958271,-87.702575,179.7
41.932094,-87.700117,181.3
41.994469,-87.667736,180.3
42.006858,-87.675919,186.2
41.916265,-87.800515,194.4
41.916265,-87.800515,194.4
41.846075,-87.716277,181.9
41.918705,-87.752329,188.7
41.682587,-87.707973,187.6
41.682587,-87.707973,187.6
41.725517,-87.614258,181
41.948167,-87.730698,183.2
41.948167,-87.730698,183.2
41.963976,-87.69181,180.1
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.95469,-87.800991,194.1
41.994991,-87.769279,189.1
41.994991,-87.769279,189.1
41.974089,-87.824812,198.2
41.9216,-87.666455,179.6
41.9216,-87.666455,179.6
41.891118,-87.654491,181.8
41.891118,-87.654491,181.8
41.867108,-87.654224,180.6
41.896282,-87.655232,180.7
41.919343,-87.694259,182
41.688324,-87.676709,199.4
41.688324,-87.676709,199.4
41.688324,-87.676709,199.4
41.731922,-87.677512,200.8
41.891126,-87.61156,179.9
41.891126,-87.61156,179.9
41.999129,-87.795585,190
41.999129,-87.795585,190
42.01743,-87.687769,186.8
42.01743,-87.687769,186.8
41.944869,-87.832763,191.9
41.944869,-87.832763,191.9
42.011601,-87.811506,197
42.011601,-87.811506,197
41.94983,-87.698457,178.6
41.979243,-87.750938,186.5
41.986921,-87.689778,182.6
41.986921,-87.689778,182.6
41.906638,-87.701431,182.7
41.906638,-87.701431,182.7
41.868077,-87.666901,180.6
41.868077,-87.666901,180.6
